date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
2020-03-11,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,0,2,0.00000,0.02977,0.00000
2020-03-11,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,0,1,0.00000,0.71712,0.00000
2020-03-11,Brazil,SP,São Paulo/SP,3550308,0,0,11,29,0.00000,0.23670,0.00000
2020-03-11,Brazil,TOTAL,TOTAL,0,0,0,19,53,0.00000,0.02522,0.00000
2020-03-12,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,0,1,0.00000,0.54226,0.00000
2020-03-12,Brazil,DF,Brasília/DF,5300108,0,0,0,2,0.00000,0.06633,0.00000
2020-03-12,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,0,1,0.00000,0.02488,0.00000
2020-03-12,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,-9,1,0.00000,0.00579,0.00000
2020-03-12,Brazil,RS,Campo Bom/RS,4303905,0,0,0,1,0.00000,1.49898,0.00000
2020-03-12,Brazil,RS,Caxias do Sul/RS,4305108,0,0,1,1,0.00000,0.19573,0.00000
2020-03-12,Brazil,PR,Cianorte/PR,4105508,0,0,1,1,0.00000,1.21036,0.00000
2020-03-12,Brazil,PR,Curitiba/PR,4106902,0,0,5,5,0.00000,0.25865,0.00000
2020-03-12,Brazil,MG,Divinópolis/MG,3122306,0,0,0,1,0.00000,0.41976,0.00000
2020-03-12,Brazil,BA,Feira de Santana/BA,2910800,0,0,0,3,0.00000,0.48791,0.00000
2020-03-12,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,0,1,1,0.00000,0.51473,0.00000
2020-03-12,Brazil,SC,Florianópolis/SC,4205407,0,0,2,2,0.00000,0.39922,0.00000
2020-03-12,Brazil,GO,Goiânia/GO,5208707,0,0,2,2,0.00000,0.13192,0.00000
2020-03-12,Brazil,MG,Ipatinga/MG,3131307,0,0,1,1,0.00000,0.37964,0.00000
2020-03-12,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.00000,0.09814,0.00000
2020-03-12,Brazil,RN,Natal/RN,2408102,0,0,1,1,0.00000,0.11311,0.00000
2020-03-12,Brazil,RJ,Niterói/RJ,3303302,0,0,1,1,0.00000,0.19471,0.00000
2020-03-12,Brazil,RS,Porto Alegre/RS,4314902,0,0,1,2,0.00000,0.13479,0.00000
2020-03-12,Brazil,PE,Recife/PE,2611606,0,0,2,2,0.00000,0.12153,0.00000
2020-03-12,Brazil,GO,Rio Verde/GO,5218805,0,0,1,1,0.00000,0.42436,0.00000
2020-03-12,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,11,13,0.00000,0.19348,0.00000
2020-03-12,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,0,1,0.00000,0.71712,0.00000
2020-03-12,Brazil,SP,São Paulo/SP,3550308,0,0,15,44,0.00000,0.35912,0.00000
2020-03-12,Brazil,TOTAL,TOTAL,0,0,0,36,89,0.00000,0.04235,0.00000
2020-03-13,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,0,1,0.00000,0.54226,0.00000
2020-03-13,Brazil,DF,Brasília/DF,5300108,0,0,0,2,0.00000,0.06633,0.00000
2020-03-13,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,0,1,0.00000,0.02488,0.00000
2020-03-13,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,0,1,0.00000,0.00579,0.00000
2020-03-13,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,10,10,0.00000,0.02178,0.00000
2020-03-13,Brazil,RS,Campo Bom/RS,4303905,0,0,0,1,0.00000,1.49898,0.00000
2020-03-13,Brazil,RS,Caxias do Sul/RS,4305108,0,0,0,1,0.00000,0.19573,0.00000
2020-03-13,Brazil,PR,Cianorte/PR,4105508,0,0,0,1,0.00000,1.21036,0.00000
2020-03-13,Brazil,PR,Curitiba/PR,4106902,0,0,0,5,0.00000,0.25865,0.00000
2020-03-13,Brazil,MG,Divinópolis/MG,3122306,0,0,0,1,0.00000,0.41976,0.00000
2020-03-13,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,4,0.00000,0.65054,0.00000
2020-03-13,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,0,0,1,0.00000,0.51473,0.00000
2020-03-13,Brazil,SC,Florianópolis/SC,4205407,0,0,0,2,0.00000,0.39922,0.00000
2020-03-13,Brazil,GO,Goiânia/GO,5208707,0,0,0,2,0.00000,0.13192,0.00000
2020-03-13,Brazil,MG,Ipatinga/MG,3131307,0,0,0,1,0.00000,0.37964,0.00000
2020-03-13,Brazil,SC,Joinville/SC,4209102,0,0,1,1,0.00000,0.16936,0.00000
2020-03-13,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.00000,0.09814,0.00000
2020-03-13,Brazil,AM,Manaus/AM,1302603,0,0,2,2,0.00000,0.09163,0.00000
2020-03-13,Brazil,RN,Natal/RN,2408102,0,0,0,1,0.00000,0.11311,0.00000
2020-03-13,Brazil,RJ,Niterói/RJ,3303302,0,0,0,1,0.00000,0.19471,0.00000
2020-03-13,Brazil,RS,Porto Alegre/RS,4314902,0,0,0,2,0.00000,0.13479,0.00000
2020-03-13,Brazil,PE,Recife/PE,2611606,0,0,0,2,0.00000,0.12153,0.00000
2020-03-13,Brazil,GO,Rio Verde/GO,5218805,0,0,0,1,0.00000,0.42436,0.00000
2020-03-13,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,0,13,0.00000,0.19348,0.00000
2020-03-13,Brazil,BA,Salvador/BA,2927408,0,0,3,3,0.00000,0.10444,0.00000
2020-03-13,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,0,1,0.00000,0.71712,0.00000
2020-03-13,Brazil,SP,São Paulo/SP,3550308,0,0,0,44,0.00000,0.35912,0.00000
2020-03-13,Brazil,TOTAL,TOTAL,0,0,0,17,106,0.00000,0.05044,0.00000
2020-03-14,Brazil,SE,Aracaju/SE,2800308,0,0,1,1,0.00000,0.15220,0.00000
2020-03-14,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,0,1,0.00000,0.54226,0.00000
2020-03-14,Brazil,DF,Brasília/DF,5300108,0,0,6,8,0.00000,0.26532,0.00000
2020-03-14,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,0,1,0.00000,0.02488,0.00000
2020-03-14,Brazil,PE,CASO SEM LOCALIZAÇÃO DEFINIDA/PE,26,0,0,1,1,0.00000,0.01046,0.00000
2020-03-14,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,6,7,0.00000,0.04054,0.00000
2020-03-14,Brazil,RS,CASO SEM LOCALIZAÇÃO DEFINIDA/RS,43,0,0,2,2,0.00000,0.01758,0.00000
2020-03-14,Brazil,RS,Campo Bom/RS,4303905,0,0,0,1,0.00000,1.49898,0.00000
2020-03-14,Brazil,MS,Campo Grande/MS,5002704,0,0,2,2,0.00000,0.22322,0.00000
2020-03-14,Brazil,SP,Carapicuíba/SP,3510609,0,0,1,1,0.00000,0.24942,0.00000
2020-03-14,Brazil,RS,Caxias do Sul/RS,4305108,0,0,0,1,0.00000,0.19573,0.00000
2020-03-14,Brazil,PR,Cianorte/PR,4105508,0,0,0,1,0.00000,1.21036,0.00000
2020-03-14,Brazil,PR,Curitiba/PR,4106902,0,0,0,5,0.00000,0.25865,0.00000
2020-03-14,Brazil,MG,Divinópolis/MG,3122306,0,0,0,1,0.00000,0.41976,0.00000
2020-03-14,Brazil,BA,Feira de Santana/BA,2910800,0,0,0,4,0.00000,0.65054,0.00000
2020-03-14,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,0,0,1,0.00000,0.51473,0.00000
2020-03-14,Brazil,SC,Florianópolis/SC,4205407,0,0,0,2,0.00000,0.39922,0.00000
2020-03-14,Brazil,GO,Goiânia/GO,5208707,0,0,1,3,0.00000,0.19787,0.00000
2020-03-14,Brazil,MG,Ipatinga/MG,3131307,0,0,0,1,0.00000,0.37964,0.00000
2020-03-14,Brazil,SC,Joinville/SC,4209102,0,0,0,1,0.00000,0.16936,0.00000
2020-03-14,Brazil,MG,Juiz de Fora/MG,3136702,0,0,1,1,0.00000,0.17579,0.00000
2020-03-14,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.00000,0.09814,0.00000
2020-03-14,Brazil,AM,Manaus/AM,1302603,0,0,0,2,0.00000,0.09163,0.00000
2020-03-14,Brazil,RN,Natal/RN,2408102,0,0,0,1,0.00000,0.11311,0.00000
2020-03-14,Brazil,RJ,Niterói/RJ,3303302,0,0,0,1,0.00000,0.19471,0.00000
2020-03-14,Brazil,MG,Patrocínio/MG,3148103,0,0,1,1,0.00000,1.10184,0.00000
2020-03-14,Brazil,RS,Porto Alegre/RS,4314902,0,0,0,2,0.00000,0.13479,0.00000
2020-03-14,Brazil,SC,Rancho Queimado/SC,4214300,0,0,2,2,0.00000,69.49270,0.00000
2020-03-14,Brazil,PE,Recife/PE,2611606,0,0,4,6,0.00000,0.36458,0.00000
2020-03-14,Brazil,GO,Rio Verde/GO,5218805,0,0,0,1,0.00000,0.42436,0.00000
2020-03-14,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,0,13,0.00000,0.19348,0.00000
2020-03-14,Brazil,BA,Salvador/BA,2927408,0,0,0,3,0.00000,0.10444,0.00000
2020-03-14,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,0,1,0.00000,0.71712,0.00000
2020-03-14,Brazil,SP,São Paulo/SP,3550308,0,0,18,62,0.00000,0.50604,0.00000
2020-03-14,Brazil,TOTAL,TOTAL,0,0,0,46,142,0.00000,0.06757,0.00000
2020-03-15,Brazil,SE,Aracaju/SE,2800308,0,0,0,1,0.00000,0.15220,0.00000
2020-03-15,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,0,1,0.00000,0.54226,0.00000
2020-03-15,Brazil,DF,Brasília/DF,5300108,0,0,6,14,0.00000,0.46430,0.00000
2020-03-15,Brazil,SC,Braço do Norte/SC,4202800,0,0,1,1,0.00000,2.98954,0.00000
2020-03-15,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,0,1,0.00000,0.02488,0.00000
2020-03-15,Brazil,PE,CASO SEM LOCALIZAÇÃO DEFINIDA/PE,26,0,0,0,1,0.00000,0.01046,0.00000
2020-03-15,Brazil,RS,CASO SEM LOCALIZAÇÃO DEFINIDA/RS,43,0,0,0,2,0.00000,0.01758,0.00000
2020-03-15,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,71,71,0.00000,0.15462,0.00000
2020-03-15,Brazil,RS,Campo Bom/RS,4303905,0,0,0,1,0.00000,1.49898,0.00000
2020-03-15,Brazil,MS,Campo Grande/MS,5002704,0,0,0,2,0.00000,0.22322,0.00000
2020-03-15,Brazil,SP,Carapicuíba/SP,3510609,0,0,0,1,0.00000,0.24942,0.00000
2020-03-15,Brazil,RS,Caxias do Sul/RS,4305108,0,0,0,1,0.00000,0.19573,0.00000
2020-03-15,Brazil,PR,Cianorte/PR,4105508,0,0,0,1,0.00000,1.21036,0.00000
2020-03-15,Brazil,PR,Curitiba/PR,4106902,0,0,0,5,0.00000,0.25865,0.00000
2020-03-15,Brazil,MG,Divinópolis/MG,3122306,0,0,0,1,0.00000,0.41976,0.00000
2020-03-15,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,5,0.00000,0.81318,0.00000
2020-03-15,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,0,0,1,0.00000,0.51473,0.00000
2020-03-15,Brazil,SC,Florianópolis/SC,4205407,0,0,0,2,0.00000,0.39922,0.00000
2020-03-15,Brazil,GO,Goiânia/GO,5208707,0,0,0,3,0.00000,0.19787,0.00000
2020-03-15,Brazil,MG,Ipatinga/MG,3131307,0,0,0,1,0.00000,0.37964,0.00000
2020-03-15,Brazil,SC,Joinville/SC,4209102,0,0,0,1,0.00000,0.16936,0.00000
2020-03-15,Brazil,MG,Juiz de Fora/MG,3136702,0,0,0,1,0.00000,0.17579,0.00000
2020-03-15,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.00000,0.09814,0.00000
2020-03-15,Brazil,AM,Manaus/AM,1302603,0,0,0,2,0.00000,0.09163,0.00000
2020-03-15,Brazil,RN,Natal/RN,2408102,0,0,0,1,0.00000,0.11311,0.00000
2020-03-15,Brazil,RJ,Niterói/RJ,3303302,0,0,0,1,0.00000,0.19471,0.00000
2020-03-15,Brazil,MG,Patrocínio/MG,3148103,0,0,0,1,0.00000,1.10184,0.00000
2020-03-15,Brazil,RS,Porto Alegre/RS,4314902,0,0,0,2,0.00000,0.13479,0.00000
2020-03-15,Brazil,SC,Rancho Queimado/SC,4214300,0,0,0,2,0.00000,69.49270,0.00000
2020-03-15,Brazil,PE,Recife/PE,2611606,0,0,1,7,0.00000,0.42534,0.00000
2020-03-15,Brazil,GO,Rio Verde/GO,5218805,0,0,0,1,0.00000,0.42436,0.00000
2020-03-15,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,9,22,0.00000,0.32743,0.00000
2020-03-15,Brazil,BA,Salvador/BA,2927408,0,0,1,4,0.00000,0.13926,0.00000
2020-03-15,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,0,1,0.00000,0.71712,0.00000
2020-03-15,Brazil,SP,São Paulo/SP,3550308,0,0,0,62,0.00000,0.50604,0.00000
2020-03-15,Brazil,TOTAL,TOTAL,0,0,0,90,225,0.00000,0.10707,0.00000
2020-03-16,Brazil,GO,Anápolis/GO,5201108,0,0,2,2,0.00000,0.51690,0.00000
2020-03-16,Brazil,CE,Aquiraz/CE,2301000,0,0,1,1,0.00000,1.24578,0.00000
2020-03-16,Brazil,SE,Aracaju/SE,2800308,0,0,4,5,0.00000,0.76102,0.00000
2020-03-16,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,0,1,0.00000,0.54226,0.00000
2020-03-16,Brazil,MG,Belo Horizonte/MG,3106200,0,0,1,1,0.00000,0.03981,0.00000
2020-03-16,Brazil,DF,Brasília/DF,5300108,0,0,5,19,0.00000,0.63013,0.00000
2020-03-16,Brazil,SC,Braço do Norte/SC,4202800,0,0,0,1,0.00000,2.98954,0.00000
2020-03-16,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,0,1,0.00000,0.02488,0.00000
2020-03-16,Brazil,PE,CASO SEM LOCALIZAÇÃO DEFINIDA/PE,26,0,0,0,1,0.00000,0.01046,0.00000
2020-03-16,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,6,6,0.00000,0.03475,0.00000
2020-03-16,Brazil,RS,Campo Bom/RS,4303905,0,0,0,1,0.00000,1.49898,0.00000
2020-03-16,Brazil,MS,Campo Grande/MS,5002704,0,0,2,4,0.00000,0.44644,0.00000
2020-03-16,Brazil,SP,Carapicuíba/SP,3510609,0,0,0,1,0.00000,0.24942,0.00000
2020-03-16,Brazil,RS,Caxias do Sul/RS,4305108,0,0,0,1,0.00000,0.19573,0.00000
2020-03-16,Brazil,PR,Cianorte/PR,4105508,0,0,0,1,0.00000,1.21036,0.00000
2020-03-16,Brazil,PR,Curitiba/PR,4106902,0,0,0,5,0.00000,0.25865,0.00000
2020-03-16,Brazil,MG,Divinópolis/MG,3122306,0,0,0,1,0.00000,0.41976,0.00000
2020-03-16,Brazil,BA,Feira de Santana/BA,2910800,0,0,0,5,0.00000,0.81318,0.00000
2020-03-16,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,0,0,1,0.00000,0.51473,0.00000
2020-03-16,Brazil,SC,Florianópolis/SC,4205407,0,0,1,3,0.00000,0.59883,0.00000
2020-03-16,Brazil,CE,Fortaleza/CE,2304400,0,0,8,8,0.00000,0.29970,0.00000
2020-03-16,Brazil,GO,Goiânia/GO,5208707,0,0,2,5,0.00000,0.32979,0.00000
2020-03-16,Brazil,MG,Ipatinga/MG,3131307,0,0,0,1,0.00000,0.37964,0.00000
2020-03-16,Brazil,SC,Joinville/SC,4209102,0,0,0,1,0.00000,0.16936,0.00000
2020-03-16,Brazil,MG,Juiz de Fora/MG,3136702,0,0,1,2,0.00000,0.35157,0.00000
2020-03-16,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.00000,0.09814,0.00000
2020-03-16,Brazil,AM,Manaus/AM,1302603,0,0,0,2,0.00000,0.09163,0.00000
2020-03-16,Brazil,SP,Mauá/SP,3529401,0,0,1,1,0.00000,0.21146,0.00000
2020-03-16,Brazil,RN,Natal/RN,2408102,0,0,0,1,0.00000,0.11311,0.00000
2020-03-16,Brazil,RJ,Niterói/RJ,3303302,0,0,0,1,0.00000,0.19471,0.00000
2020-03-16,Brazil,MG,Patrocínio/MG,3148103,0,0,0,1,0.00000,1.10184,0.00000
2020-03-16,Brazil,RS,Porto Alegre/RS,4314902,0,0,4,6,0.00000,0.40438,0.00000
2020-03-16,Brazil,BA,Porto Seguro/BA,2925303,0,0,1,1,0.00000,0.67256,0.00000
2020-03-16,Brazil,SC,Rancho Queimado/SC,4214300,0,0,0,2,0.00000,69.49270,0.00000
2020-03-16,Brazil,PE,Recife/PE,2611606,0,0,0,7,0.00000,0.42534,0.00000
2020-03-16,Brazil,GO,Rio Verde/GO,5218805,0,0,1,2,0.00000,0.84873,0.00000
2020-03-16,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,1,23,0.00000,0.34232,0.00000
2020-03-16,Brazil,BA,Salvador/BA,2927408,0,0,0,4,0.00000,0.13926,0.00000
2020-03-16,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,0,1,0.00000,0.71712,0.00000
2020-03-16,Brazil,SP,Santo André/SP,3547809,0,0,1,1,0.00000,0.13913,0.00000
2020-03-16,Brazil,SP,São Bernardo do Campo/SP,3548708,0,0,1,1,0.00000,0.11920,0.00000
2020-03-16,Brazil,SP,São Caetano do Sul/SP,3548807,0,0,1,1,0.00000,0.62063,0.00000
2020-03-16,Brazil,SP,São Paulo/SP,3550308,0,0,83,145,0.00000,1.18348,0.00000
2020-03-16,Brazil,TOTAL,TOTAL,0,0,0,127,279,0.00000,0.13276,0.00000
2020-03-17,Brazil,GO,Anápolis/GO,5201108,0,0,0,2,0.00000,0.51690,0.00000
2020-03-17,Brazil,CE,Aquiraz/CE,2301000,0,0,0,1,0.00000,1.24578,0.00000
2020-03-17,Brazil,SE,Aracaju/SE,2800308,0,0,0,5,0.00000,0.76102,0.00000
2020-03-17,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,0,1,0.00000,0.54226,0.00000
2020-03-17,Brazil,MG,Belo Horizonte/MG,3106200,0,0,4,5,0.00000,0.19904,0.00000
2020-03-17,Brazil,PE,Belo Jardim/PE,2601706,0,0,1,1,0.00000,1.30823,0.00000
2020-03-17,Brazil,DF,Brasília/DF,5300108,0,0,3,22,0.00000,0.72962,0.00000
2020-03-17,Brazil,SC,Braço do Norte/SC,4202800,0,0,0,1,0.00000,2.98954,0.00000
2020-03-17,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,0,1,0.00000,0.02488,0.00000
